ID,CUSTOMERNAME,PHONE,PRODUCT,TRANSPORTINDUSTRY,PRODUCTCODE,ADDRESSLINE,CITY,COUNTRY,TERRITORY
1292,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4522,5677 Strong St.,San Rafael,USA,NA
1293,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_4522,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1294,FunGiftIdeas.com,5085552555,Vintage Cars,Land-Based,S18_4522,1785 First Street,New Bedford,USA,NA
1295,CAF Imports,+34 913 728 555,Vintage Cars,Land-Based,S18_4522,"Merchants House, 27-30 Merchant's Quay",Madrid,Spain,EMEA
1296,Mini Creations Ltd.,5085559555,Vintage Cars,Land-Based,S18_4522,4575 Hillside Dr.,New Bedford,USA,NA
1297,Enaco Distributors,(93) 203 4555,Vintage Cars,Land-Based,S18_4522,"Rambla de Catalu�a, 23",Barcelona,Spain,EMEA
1298,"Saveley & Henriot, Co.",78.32.5555,Vintage Cars,Land-Based,S18_4522,"2, rue du Commerce",Lyon,France,EMEA
1299,Petit Auto,(02) 5554 67,Vintage Cars,Land-Based,S18_4522,Rue Joseph-Bens 532,Bruxelles,Belgium,EMEA
1300,giftsbymail.co.uk,(198) 555-8888,Vintage Cars,Land-Based,S18_4522,Garden House Crowther Way,Cowes,UK,EMEA
1301,Land of Toys Inc.,2125557818,Vintage Cars,Land-Based,S18_4522,897 Long Airport Avenue,NYC,USA,NA
1302,Quebec Home Shopping Network,(514) 555-8054,Vintage Cars,Land-Based,S18_4522,43 rue St. Laurent,Montreal,Canada,NA
1303,Petit Auto,(02) 5554 67,Vintage Cars,Land-Based,S18_4522,Rue Joseph-Bens 532,Bruxelles,Belgium,EMEA
1304,"Royal Canadian Collectables, Ltd.",(604) 555-4555,Vintage Cars,Land-Based,S18_4522,23 Tsawassen Blvd.,Tsawassen,Canada,NA
1305,Amica Models & Co.,011-4988555,Vintage Cars,Land-Based,S18_4522,Via Monte Bianco 34,Torino,Italy,EMEA
1306,"AV Stores, Co.",(171) 555-1555,Vintage Cars,Land-Based,S18_4522,Fauntleroy Circus,Manchester,UK,EMEA
1307,La Rochelle Gifts,40.67.8555,Vintage Cars,Land-Based,S18_4522,"67, rue des Cinquante Otages",Nantes,France,EMEA
1308,"Volvo Model Replicas, Co",0921-12 3555,Vintage Cars,Land-Based,S18_4522,Berguvsv�gen  8,Lule,Sweden,EMEA
1309,Classic Legends Inc.,2125558493,Vintage Cars,Land-Based,S18_4522,5905 Pompton St.,NYC,USA,NA
1310,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_4522,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1311,"Tokyo Collectables, Ltd",+81 3 3584 0555,Vintage Cars,Land-Based,S18_4522,2-2-8 Roppongi,Minato-ku,Japan,APAC
1312,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_4522,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1313,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4522,5677 Strong St.,San Rafael,USA,NA
1314,Gifts4AllAges.com,6175559555,Vintage Cars,Land-Based,S18_4522,8616 Spinnaker Dr.,Boston,USA,NA
1315,Baane Mini Imports,07-98 9555,Trucks and Buses,Land-Based,S18_4600,Erling Skakkes gate 78,Stavern,Norway,EMEA
1316,"La Corne D'abondance, Co.",(1) 42.34.2555,Trucks and Buses,Land-Based,S18_4600,"265, boulevard Charonne",Paris,France,EMEA
1317,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Trucks and Buses,Land-Based,S18_4600,"C/ Araquil, 67",Madrid,Spain,EMEA
1318,Technics Stores Inc.,6505556809,Trucks and Buses,Land-Based,S18_4600,9408 Furth Circle,Burlingame,USA,NA
1319,"Dragon Souveniers, Ltd.",+65 221 7555,Trucks and Buses,Land-Based,S18_4600,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
1320,Mini Auto Werke,7675-3555,Trucks and Buses,Land-Based,S18_4600,Kirchgasse 6,Graz,Austria,EMEA
1321,"Stylish Desk Decors, Co.",(171) 555-0297,Trucks and Buses,Land-Based,S18_4600,35 King George,London,UK,EMEA
1322,"Classic Gift Ideas, Inc",2155554695,Trucks and Buses,Land-Based,S18_4600,782 First Street,Philadelphia,USA,NA
1323,"Saveley & Henriot, Co.",78.32.5555,Trucks and Buses,Land-Based,S18_4600,"2, rue du Commerce",Lyon,France,EMEA
1324,Diecast Collectables,6175552555,Trucks and Buses,Land-Based,S18_4600,6251 Ingle Ln.,Boston,USA,NA
1325,Handji Gifts& Co,+65 224 1555,Trucks and Buses,Land-Based,S18_4600,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
1326,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S18_4600,5677 Strong St.,San Rafael,USA,NA
1327,Super Scale Inc.,2035559545,Trucks and Buses,Land-Based,S18_4600,567 North Pendale Street,New Haven,USA,NA
1328,Handji Gifts& Co,+65 224 1555,Trucks and Buses,Land-Based,S18_4600,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
1329,Souveniers And Things Co.,+61 2 9495 8555,Trucks and Buses,Land-Based,S18_4600,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
1330,Diecast Classics Inc.,2155551555,Trucks and Buses,Land-Based,S18_4600,7586 Pompton St.,Allentown,USA,NA
1331,Scandinavian Gift Ideas,0695-34 6555,Trucks and Buses,Land-Based,S18_4600,?kergatan 24,Boras,Sweden,EMEA
1332,Marta's Replicas Co.,6175558555,Trucks and Buses,Land-Based,S18_4600,39323 Spinnaker Dr.,Cambridge,USA,NA
1333,Canadian Gift Exchange Network,(604) 555-3392,Trucks and Buses,Land-Based,S18_4600,1900 Oak St.,Vancouver,Canada,NA
1334,"Blauer See Auto, Co.",+49 69 66 90 2555,Trucks and Buses,Land-Based,S18_4600,Lyonerstr. 34,Frankfurt,Germany,EMEA
1335,"Volvo Model Replicas, Co",0921-12 3555,Trucks and Buses,Land-Based,S18_4600,Berguvsv�gen  8,Lule,Sweden,EMEA
1336,"Australian Collectors, Co.",03 9520 4555,Trucks and Buses,Land-Based,S18_4600,636 St Kilda Road,Melbourne,Australia,APAC
1337,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S18_4600,5677 Strong St.,San Rafael,USA,NA
1338,"Anna's Decorations, Ltd",02 9936 8555,Trucks and Buses,Land-Based,S18_4600,201 Miller Street,North Sydney,Australia,APAC
1339,Mini Gifts Distributors Ltd.,4155551450,Trucks and Buses,Land-Based,S18_4600,5677 Strong St.,San Rafael,USA,NA
1340,Quebec Home Shopping Network,(514) 555-8054,Trucks and Buses,Land-Based,S18_4600,43 rue St. Laurent,Montreal,Canada,NA
1341,La Rochelle Gifts,40.67.8555,Trucks and Buses,Land-Based,S18_4600,"67, rue des Cinquante Otages",Nantes,France,EMEA
1342,Baane Mini Imports,07-98 9555,Vintage Cars,Land-Based,S18_4668,Erling Skakkes gate 78,Stavern,Norway,EMEA
1343,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4668,5677 Strong St.,San Rafael,USA,NA
1344,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Vintage Cars,Land-Based,S18_4668,"C/ Araquil, 67",Madrid,Spain,EMEA
1345,Technics Stores Inc.,6505556809,Vintage Cars,Land-Based,S18_4668,9408 Furth Circle,Burlingame,USA,NA
1346,"Dragon Souveniers, Ltd.",+65 221 7555,Vintage Cars,Land-Based,S18_4668,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
1347,Mini Auto Werke,7675-3555,Vintage Cars,Land-Based,S18_4668,Kirchgasse 6,Graz,Austria,EMEA
1348,"Australian Gift Network, Co",61-7-3844-6555,Vintage Cars,Land-Based,S18_4668,31 Duncan St. West End,South Brisbane,Australia,APAC
1349,"Classic Gift Ideas, Inc",2155554695,Vintage Cars,Land-Based,S18_4668,782 First Street,Philadelphia,USA,NA
1350,"Saveley & Henriot, Co.",78.32.5555,Vintage Cars,Land-Based,S18_4668,"2, rue du Commerce",Lyon,France,EMEA
1351,Canadian Gift Exchange Network,(604) 555-3392,Vintage Cars,Land-Based,S18_4668,1900 Oak St.,Vancouver,Canada,NA
1352,West Coast Collectables Co.,3105553722,Vintage Cars,Land-Based,S18_4668,3675 Furth Circle,Burbank,USA,NA
1353,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4668,5677 Strong St.,San Rafael,USA,NA
1354,Super Scale Inc.,2035559545,Vintage Cars,Land-Based,S18_4668,567 North Pendale Street,New Haven,USA,NA
1355,"Tokyo Collectables, Ltd",+81 3 3584 0555,Vintage Cars,Land-Based,S18_4668,2-2-8 Roppongi,Minato-ku,Japan,APAC
1356,Souveniers And Things Co.,+61 2 9495 8555,Vintage Cars,Land-Based,S18_4668,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
1357,Diecast Classics Inc.,2155551555,Vintage Cars,Land-Based,S18_4668,7586 Pompton St.,Allentown,USA,NA
1358,Scandinavian Gift Ideas,0695-34 6555,Vintage Cars,Land-Based,S18_4668,?kergatan 24,Boras,Sweden,EMEA
1359,Auto Assoc. & Cie.,30.59.8555,Vintage Cars,Land-Based,S18_4668,"67, avenue de l'Europe",Versailles,France,EMEA
1360,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4668,5677 Strong St.,San Rafael,USA,NA
1361,Vitachrome Inc.,2125551500,Vintage Cars,Land-Based,S18_4668,2678 Kingston Rd.,NYC,USA,NA
1362,Mini Wheels Co.,6505555787,Vintage Cars,Land-Based,S18_4668,5557 North Pendale Street,San Francisco,USA,NA
1363,"Corrida Auto Replicas, Ltd",(91) 555 22 82,Vintage Cars,Land-Based,S18_4668,"C/ Araquil, 67",Madrid,Spain,EMEA
1364,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_4668,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1365,"Anna's Decorations, Ltd",02 9936 8555,Vintage Cars,Land-Based,S18_4668,201 Miller Street,North Sydney,Australia,APAC
1366,Mini Gifts Distributors Ltd.,4155551450,Vintage Cars,Land-Based,S18_4668,5677 Strong St.,San Rafael,USA,NA
1367,Quebec Home Shopping Network,(514) 555-8054,Vintage Cars,Land-Based,S18_4668,43 rue St. Laurent,Montreal,Canada,NA
1368,Euro Shopping Channel,(91) 555 94 44,Vintage Cars,Land-Based,S18_4668,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1369,Cruz & Sons Co.,+63 2 555 3587,Classic Cars,Land-Based,S18_4721,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
1370,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S18_4721,"12, rue des Bouchers",Marseille,France,EMEA
1371,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_4721,5677 Strong St.,San Rafael,USA,NA
1372,Gift Ideas Corp.,2035554407,Classic Cars,Land-Based,S18_4721,2440 Pompton St.,Glendale,USA,NA
1373,Corporate Gift Ideas Co.,6505551386,Classic Cars,Land-Based,S18_4721,7734 Strong St.,San Francisco,USA,NA
1374,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S18_4721,201 Miller Street,North Sydney,Australia,APAC
1375,Daedalus Designs Imports,20.16.1555,Classic Cars,Land-Based,S18_4721,"184, chausse de Tournai",Lille,France,EMEA
1376,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S18_4721,Mehrheimerstr. 369,Koln,Germany,EMEA
1377,Auto Canal Petit,(1) 47.55.6555,Classic Cars,Land-Based,S18_4721,"25, rue Lauriston",Paris,France,EMEA
1378,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_4721,Grenzacherweg 237,Gensve,Switzerland,EMEA
1379,Danish Wholesale Imports,31 12 3555,Classic Cars,Land-Based,S18_4721,Vinb'ltet 34,Kobenhavn,Denmark,EMEA
1380,Auto Canal Petit,(1) 47.55.6555,Classic Cars,Land-Based,S18_4721,"25, rue Lauriston",Paris,France,EMEA
1381,Gifts4AllAges.com,6175559555,Classic Cars,Land-Based,S18_4721,8616 Spinnaker Dr.,Boston,USA,NA
1382,Online Mini Collectables,6175557555,Classic Cars,Land-Based,S18_4721,7635 Spinnaker Dr.,Brickhaven,USA,NA
1383,"Vida Sport, Ltd",0897-034555,Classic Cars,Land-Based,S18_4721,Grenzacherweg 237,Gensve,Switzerland,EMEA
1384,"Toys of Finland, Co.",90-224 8555,Classic Cars,Land-Based,S18_4721,Keskuskatu 45,Helsinki,Finland,EMEA
1385,"Toms Spezialitten, Ltd",0221-5554327,Classic Cars,Land-Based,S18_4721,Mehrheimerstr. 369,Koln,Germany,EMEA
1386,Microscale Inc.,2125551957,Classic Cars,Land-Based,S18_4721,5290 North Pendale Street,NYC,USA,NA
1387,Cruz & Sons Co.,+63 2 555 3587,Classic Cars,Land-Based,S18_4721,15 McCallum Street - NatWest Center #13-03,Makati City,Philippines,APAC
1388,"Australian Collectors, Co.",03 9520 4555,Classic Cars,Land-Based,S18_4721,636 St Kilda Road,Melbourne,Australia,APAC
1389,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_4721,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1390,Suominen Souveniers,+358 9 8045 555,Classic Cars,Land-Based,S18_4721,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
1391,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_4721,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1392,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_4721,5677 Strong St.,San Rafael,USA,NA
1393,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S18_4933,Fauntleroy Circus,Manchester,UK,EMEA
1394,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S18_4933,8489 Strong St.,Las Vegas,USA,NA
1395,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S18_4933,201 Miller Street,North Sydney,Australia,APAC
1396,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S18_4933,Smagsloget 45,Aaarhus,Denmark,EMEA
1397,Rovelli Gifts,035-640555,Classic Cars,Land-Based,S18_4933,Via Ludovico il Moro 22,Bergamo,Italy,EMEA
1398,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S18_4933,5677 Strong St.,San Rafael,USA,NA
1399,"Australian Collectables, Ltd",61-9-3844-6555,Classic Cars,Land-Based,S18_4933,7 Allen Street,Glen Waverly,Australia,APAC
1400,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S18_4933,4092 Furth Circle,NYC,USA,NA
1401,"Double Decker Gift Stores, Ltd",(171) 555-7555,Classic Cars,Land-Based,S18_4933,120 Hanover Sq.,London,UK,EMEA
1402,"Saveley & Henriot, Co.",78.32.5555,Classic Cars,Land-Based,S18_4933,"2, rue du Commerce",Lyon,France,EMEA
1403,Mini Caravy,88.60.1555,Classic Cars,Land-Based,S18_4933,"24, place Kluber",Strasbourg,France,EMEA
1404,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S18_4933,4092 Furth Circle,NYC,USA,NA
1405,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_4933,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1406,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S18_4933,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
1407,"UK Collectables, Ltd.",(171) 555-2282,Classic Cars,Land-Based,S18_4933,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
1408,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_4933,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1409,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S18_4933,Fauntleroy Circus,Manchester,UK,EMEA
1410,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S18_4933,"12, rue des Bouchers",Marseille,France,EMEA
1411,Toys4GrownUps.com,6265557265,Classic Cars,Land-Based,S18_4933,78934 Hillside Dr.,Pasadena,USA,NA
1412,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S18_4933,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1413,The Sharp Gifts Warehouse,4085553659,Classic Cars,Land-Based,S18_4933,3086 Ingle Ln.,San Jose,USA,NA
1414,Souveniers And Things Co.,+61 2 9495 8555,Classic Cars,Land-Based,S18_4933,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
1415,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S24_1046,Fauntleroy Circus,Manchester,UK,EMEA
1416,Signal Gift Stores,7025551838,Classic Cars,Land-Based,S24_1046,8489 Strong St.,Las Vegas,USA,NA
1417,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S24_1046,201 Miller Street,North Sydney,Australia,APAC
1418,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S24_1046,Smagsloget 45,Aaarhus,Denmark,EMEA
1419,Gift Depot Inc.,2035552570,Classic Cars,Land-Based,S24_1046,25593 South Bay Ln.,Bridgewater,USA,NA
1420,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S24_1046,5677 Strong St.,San Rafael,USA,NA
1421,Online Diecast Creations Co.,6035558647,Classic Cars,Land-Based,S24_1046,2304 Long Airport Avenue,Nashua,USA,NA
1422,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S24_1046,4092 Furth Circle,NYC,USA,NA
1423,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1046,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1424,Collectable Mini Designs Co.,7605558146,Classic Cars,Land-Based,S24_1046,361 Furth Circle,San Diego,USA,NA
1425,Mini Caravy,88.60.1555,Classic Cars,Land-Based,S24_1046,"24, place Kluber",Strasbourg,France,EMEA
1426,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S24_1046,4092 Furth Circle,NYC,USA,NA
1427,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1046,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1428,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S24_1046,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
1429,"Norway Gifts By Mail, Co.",+47 2212 1555,Classic Cars,Land-Based,S24_1046,"Drammensveien 126 A, PB 744 Sentrum",Oslo,Norway,EMEA
1430,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1046,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1431,FunGiftIdeas.com,5085552555,Classic Cars,Land-Based,S24_1046,1785 First Street,New Bedford,USA,NA
1432,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S24_1046,Fauntleroy Circus,Manchester,UK,EMEA
1433,Marseille Mini Autos,91.24.4555,Classic Cars,Land-Based,S24_1046,"12, rue des Bouchers",Marseille,France,EMEA
1434,Toys4GrownUps.com,6265557265,Classic Cars,Land-Based,S24_1046,78934 Hillside Dr.,Pasadena,USA,NA
1435,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1046,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1436,The Sharp Gifts Warehouse,4085553659,Classic Cars,Land-Based,S24_1046,3086 Ingle Ln.,San Jose,USA,NA
1437,Souveniers And Things Co.,+61 2 9495 8555,Classic Cars,Land-Based,S24_1046,"Monitor Money Building, 815 Pacific Hwy",Chatswood,Australia,APAC
1438,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1439,Classic Legends Inc.,2125558493,Classic Cars,Land-Based,S24_1444,5905 Pompton St.,NYC,USA,NA
1440,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S24_1444,4092 Furth Circle,NYC,USA,NA
1441,Suominen Souveniers,+358 9 8045 555,Classic Cars,Land-Based,S24_1444,"Software Engineering Center, SEC Oy",Espoo,Finland,EMEA
1442,"Australian Gift Network, Co",61-7-3844-6555,Classic Cars,Land-Based,S24_1444,31 Duncan St. West End,South Brisbane,Australia,APAC
1443,"Dragon Souveniers, Ltd.",+65 221 7555,Classic Cars,Land-Based,S24_1444,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",Singapore,Singapore,APAC
1444,L'ordine Souveniers,0522-556555,Classic Cars,Land-Based,S24_1444,Strada Provinciale 124,Reggio Emilia,Italy,EMEA
1445,"Iberia Gift Imports, Corp.",(95) 555 82 82,Classic Cars,Land-Based,S24_1444,"C/ Romero, 33",Sevilla,Spain,EMEA
1446,Mini Classics,9145554562,Classic Cars,Land-Based,S24_1444,3758 North Pendale Street,White Plains,USA,NA
1447,Diecast Collectables,6175552555,Classic Cars,Land-Based,S24_1444,6251 Ingle Ln.,Boston,USA,NA
1448,"Clover Collections, Co.",+353 1862 1555,Classic Cars,Land-Based,S24_1444,25 Maiden Lane,Dublin,Ireland,EMEA
1449,"Blauer See Auto, Co.",+49 69 66 90 2555,Classic Cars,Land-Based,S24_1444,Lyonerstr. 34,Frankfurt,Germany,EMEA
1450,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1451,Handji Gifts& Co,+65 224 1555,Classic Cars,Land-Based,S24_1444,Village Close - 106 Linden Road Sandown,Singapore,Singapore,APAC
1452,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S24_1444,5677 Strong St.,San Rafael,USA,NA
1453,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S24_1444,5677 Strong St.,San Rafael,USA,NA
1454,Land of Toys Inc.,2125557818,Classic Cars,Land-Based,S24_1444,897 Long Airport Avenue,NYC,USA,NA
1455,Marta's Replicas Co.,6175558555,Classic Cars,Land-Based,S24_1444,39323 Spinnaker Dr.,Cambridge,USA,NA
1456,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S24_1444,Smagsloget 45,Aaarhus,Denmark,EMEA
1457,Vitachrome Inc.,2125551500,Classic Cars,Land-Based,S24_1444,2678 Kingston Rd.,NYC,USA,NA
1458,"La Corne D'abondance, Co.",(1) 42.34.2555,Classic Cars,Land-Based,S24_1444,"265, boulevard Charonne",Paris,France,EMEA
1459,Muscle Machine Inc,2125557413,Classic Cars,Land-Based,S24_1444,4092 Furth Circle,NYC,USA,NA
1460,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1461,Mini Gifts Distributors Ltd.,4155551450,Classic Cars,Land-Based,S24_1444,5677 Strong St.,San Rafael,USA,NA
1462,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1463,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1464,Euro Shopping Channel,(91) 555 94 44,Classic Cars,Land-Based,S24_1444,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1465,La Rochelle Gifts,40.67.8555,Classic Cars,Land-Based,S24_1444,"67, rue des Cinquante Otages",Nantes,France,EMEA
1466,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S24_1578,897 Long Airport Avenue,NYC,USA,NA
1467,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S24_1578,636 St Kilda Road,Melbourne,Australia,APAC
1468,Lyon Souveniers,+33 1 46 62 7555,Motorcycles,Land-Based,S24_1578,27 rue du Colonel Pierre Avia,Paris,France,EMEA
1469,Toys4GrownUps.com,6265557265,Motorcycles,Land-Based,S24_1578,78934 Hillside Dr.,Pasadena,USA,NA
1470,Corporate Gift Ideas Co.,6505551386,Motorcycles,Land-Based,S24_1578,7734 Strong St.,San Francisco,USA,NA
1471,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S24_1578,9408 Furth Circle,Burlingame,USA,NA
1472,Daedalus Designs Imports,20.16.1555,Motorcycles,Land-Based,S24_1578,"184, chausse de Tournai",Lille,France,EMEA
1473,Herkku Gifts,+47 2267 3215,Motorcycles,Land-Based,S24_1578,"Drammen 121, PR 744 Sentrum",Bergen,Norway,EMEA
1474,Mini Wheels Co.,6505555787,Motorcycles,Land-Based,S24_1578,5557 North Pendale Street,San Francisco,USA,NA
1475,Auto Canal Petit,(1) 47.55.6555,Motorcycles,Land-Based,S24_1578,"25, rue Lauriston",Paris,France,EMEA
1476,"Australian Collectors, Co.",03 9520 4555,Motorcycles,Land-Based,S24_1578,636 St Kilda Road,Melbourne,Australia,APAC
1477,Vitachrome Inc.,2125551500,Motorcycles,Land-Based,S24_1578,2678 Kingston Rd.,NYC,USA,NA
1478,Tekni Collectables Inc.,2015559350,Motorcycles,Land-Based,S24_1578,7476 Moss Rd.,Newark,USA,NA
1479,Gift Depot Inc.,2035552570,Motorcycles,Land-Based,S24_1578,25593 South Bay Ln.,Bridgewater,USA,NA
1480,La Rochelle Gifts,40.67.8555,Motorcycles,Land-Based,S24_1578,"67, rue des Cinquante Otages",Nantes,France,EMEA
1481,Marta's Replicas Co.,6175558555,Motorcycles,Land-Based,S24_1578,39323 Spinnaker Dr.,Cambridge,USA,NA
1482,"Toys of Finland, Co.",90-224 8555,Motorcycles,Land-Based,S24_1578,Keskuskatu 45,Helsinki,Finland,EMEA
1483,Baane Mini Imports,07-98 9555,Motorcycles,Land-Based,S24_1578,Erling Skakkes gate 78,Stavern,Norway,EMEA
1484,Diecast Classics Inc.,2155551555,Motorcycles,Land-Based,S24_1578,7586 Pompton St.,Allentown,USA,NA
1485,Land of Toys Inc.,2125557818,Motorcycles,Land-Based,S24_1578,897 Long Airport Avenue,NYC,USA,NA
1486,"Tokyo Collectables, Ltd",+81 3 3584 0555,Motorcycles,Land-Based,S24_1578,2-2-8 Roppongi,Minato-ku,Japan,APAC
1487,Technics Stores Inc.,6505556809,Motorcycles,Land-Based,S24_1578,9408 Furth Circle,Burlingame,USA,NA
1488,"Australian Gift Network, Co",61-7-3844-6555,Motorcycles,Land-Based,S24_1578,31 Duncan St. West End,South Brisbane,Australia,APAC
1489,Scandinavian Gift Ideas,0695-34 6555,Motorcycles,Land-Based,S24_1578,?kergatan 24,Boras,Sweden,EMEA
1490,"UK Collectables, Ltd.",(171) 555-2282,Motorcycles,Land-Based,S24_1578,Berkeley Gardens 12  Brewery,Liverpool,UK,EMEA
1491,Euro Shopping Channel,(91) 555 94 44,Motorcycles,Land-Based,S24_1578,"C/ Moralzarzal, 86",Madrid,Spain,EMEA
1492,"AV Stores, Co.",(171) 555-1555,Classic Cars,Land-Based,S24_1628,Fauntleroy Circus,Manchester,UK,EMEA
1493,Atelier graphique,40.32.2555,Classic Cars,Land-Based,S24_1628,"54, rue Royale",Nantes,France,EMEA
1494,Reims Collectables,26.47.1555,Classic Cars,Land-Based,S24_1628,59 rue de l'Abbaye,Reims,France,EMEA
1495,"Anna's Decorations, Ltd",02 9936 8555,Classic Cars,Land-Based,S24_1628,201 Miller Street,North Sydney,Australia,APAC
1496,Heintze Collectables,86 21 3555,Classic Cars,Land-Based,S24_1628,Smagsloget 45,Aaarhus,Denmark,EMEA
1497,Gift Depot Inc.,2035552570,Classic Cars,Land-Based,S24_1628,25593 South Bay Ln.,Bridgewater,USA,NA
